title_id,vertical,title_primary,imdb_id,tmdb_qid,candidates,match_note
anime_014,anime,Saga of Tanya the Evil,tt6455986,Q111017057,The Saga of Tanya the Evil | Saga of Tanya the Evil: The Movie | List of Saga of Tanya the Evil episodes | List of The Saga of Tanya the Evil volumes | Carlo Zen (author),The Saga of Tanya the Evil:title_not_exact(0.92) | Saga of Tanya the Evil: The Movie:title_not_exact(0.80) | List of Saga of Tanya the Evil episodes:title_not_exact(0.72) | List of The Saga of Tanya the Evil volumes:title_not_exact(0.69) | Carlo Zen (author):title_not_exact(0.13) | The Saga of Tanya
anime_016,anime,Killing Bites,tt7879138,Q93338270,Killing Bites | Wataru Katoh | Killing of Jeffrey Doucet | List of television programs based on comics | The Killing of a Sacred Deer | Sora Amamiya | FripSide | Man Bites Dog (film),Killing Bites:instance_of | Wataru Katoh:title_not_exact(0.08) | Killing of Jeffrey Doucet:title_not_exact(0.47) | List of television programs based on comics:title_not_exact(0.21) | The Killing of a Sacred Deer:title_not_exact(0.44) | Wataru Katoh:title_similarity(0.08) | Sora Amamiya:title_similar
anime_017,anime,Devils' Line,tt8314920,Q62061830,Devils' Line | The Devils (film) | Aden Durde | Devils Hole | List of television programs based on comics | Bryson Baugus | Platinum Vision | New Jersey Devils | Adam Gibbs,Devils' Line:instance_of | The Devils (film):title_not_exact(0.55) | Aden Durde:title_not_exact(0.36) | Devils Hole:title_not_exact(0.78) | List of television programs based on comics:title_not_exact(0.25) | Bryson Baugus:title_similarity(0.16) | Platinum Vision:title_similarity(0.22) | New Jersey D
anime_018,anime,WATATEN!: an Angel Flew Down to Me,tt9622614,Q61627761,"Wataten! | Though I Am an Inept Villainess | Chiikawa | Gabriel DropOut | Sing ""Yesterday"" for Me | Himouto! Umaru-chan | Reina Ueda","Wataten!:parent_article | Though I Am an Inept Villainess:title_not_exact(0.34) | Chiikawa:title_not_exact(0.10) | Gabriel DropOut:title_not_exact(0.29) | Sing ""Yesterday"" for Me:title_not_exact(0.33) | Though I Am an Inept Villainess:title_similarity(0.34) | Chiikawa:title_similarity(0.10) | Himout"
anime_019,anime,Wise Man's Grandchild,tt9828724,Q62014758,Wise Man's Grandchild | Gō Zappa | Rina Honnizumi | Yuki Wakai | Shinichi Watanabe | Mallorie Rodak | Megumi Yamaguchi,Wise Man's Grandchild:instance_of | Gō Zappa:title_not_exact(0.14) | Rina Honnizumi:title_not_exact(0.11) | Yuki Wakai:title_not_exact(0.32) | Shinichi Watanabe:title_not_exact(0.26) | Rina Honnizumi:title_similarity(0.11) | Mallorie Rodak:title_similarity(0.23) | Yuki Wakai:title_similarity(0.32) |
anime_020,anime,Fire Force,tt9307686,Q66091988,Fire Force | List of Fire Force episodes | Fire Force season 1 | List of Fire Force chapters | List of Fire Force characters | Fire Force (Rhodesia) | Fire Force season 2,Fire Force:instance_of | List of Fire Force episodes:title_not_exact(0.54) | Fire Force season 1:title_not_exact(0.69) | List of Fire Force chapters:title_not_exact(0.54) | List of Fire Force characters:title_not_exact(0.51) | List of Fire Force chapters:title_similarity(0.54) | Fire Force (Rhodesia
anime_023,anime,Wandering Witch: The Journey of Elaina,tt12457334,Q71574733,Wandering Witch: The Journey of Elaina | Kaede Hondo | Reina Ueda | Tomoyo Kurosawa | Jōgi Shiraishi | Kana Hanazawa,Wandering Witch: The Journey of Elaina:instance_of | Kaede Hondo:title_not_exact(0.33) | Reina Ueda:title_not_exact(0.21) | Tomoyo Kurosawa:title_not_exact(0.26) | Jōgi Shiraishi:title_not_exact(0.15) | Kaede Hondo:title_similarity(0.33) | Reina Ueda:title_similarity(0.21) | Tomoyo Kurosawa:title_si
anime_024,anime,Cagaster of an Insect Cage,tt9288892,Q86528304,Cagaster of an Insect Cage | Akihiko Yamashita | List of television programs based on comics | Toshiyuki Morikawa | Kazuyuki Okitsu | Studio Kai | Aleks Le | Neil Kaplan | Richard Tatum,Cagaster of an Insect Cage:instance_of | Akihiko Yamashita:title_not_exact(0.28) | List of television programs based on comics:title_not_exact(0.35) | Toshiyuki Morikawa:title_not_exact(0.23) | Kazuyuki Okitsu:title_not_exact(0.24) | Studio Kai:title_similarity(0.28) | Aleks Le:title_similarity(0.29
anime_025,anime,Interspecies Reviewers,tt11595706,Q91331034,Interspecies Reviewers | Karin Isobe | Shiori Izawa | Hibiku Yamamura | List of comedy television series | Miyu Tomita | List of animated series with LGBTQ characters: 2020–2024 | Review bomb | Vote brigading,Interspecies Reviewers:instance_of | Karin Isobe:title_not_exact(0.30) | Shiori Izawa:title_not_exact(0.29) | Hibiku Yamamura:title_not_exact(0.22) | List of comedy television series:title_not_exact(0.33) | Miyu Tomita:title_similarity(0.18) | List of animated series with LGBTQ characters: 2020–2024
anime_026,anime,Laid-Back Camp,tt7742120,Q64029196,Laid-Back Camp | Laid-Back Camp Movie | Laid-Back Camp (2018 soundtrack) | Laid-Back Camp season 1 | Laid-Back Camp season 2 | Laid-Back Camp (TV series) | Laid-Back Camp season 3 | List of Laid-Back Camp episodes,Laid-Back Camp:instance_of | Laid-Back Camp Movie:title_not_exact(0.82) | Laid-Back Camp (2018 soundtrack):instance_of | Laid-Back Camp season 1:title_not_exact(0.76) | Laid-Back Camp season 2:title_not_exact(0.76) | Laid-Back Camp Movie:title_similarity(0.82) | Laid-Back Camp (TV series):year(2020_
anime_027,anime,Rascal Does Not Dream of Bunny Girl Senpai,tt8993398,Q63615353,Rascal Does Not Dream | Rascal Does Not Dream of a Dreaming Girl | Hajime Kamoshida | Playboy Bunny | Masahiro Yokotani | Rascal Does Not Dream of a Sister Venturing Out,Rascal Does Not Dream:parent_article | Rascal Does Not Dream of a Dreaming Girl:title_not_exact(0.76) | Hajime Kamoshida:title_not_exact(0.28) | Playboy Bunny:title_not_exact(0.33) | Masahiro Yokotani:title_not_exact(0.27) | Rascal Does Not Dream of a Dreaming Girl:title_similarity(0.76) | Rascal Do
anime_028,anime,Fruits Basket,tt9304350,Q90394739,Fruits Basket (2019 TV series) | Fruits Basket | List of Fruits Basket characters | Fruits Basket: Prelude | Fruits Basket Another,Fruits Basket (2019 TV series):instance_of | Fruits Basket:instance_of | List of Fruits Basket characters:title_not_exact(0.58) | Fruits Basket: Prelude:title_not_exact(0.74) | Fruits Basket Another:title_not_exact(0.76) | List of Fruits Basket characters:title_similarity(0.58) | Fruits Basket: Prel
anime_029,anime,Toilet-Bound Hanako-kun,tt10777610,Q117455136,Toilet-Bound Hanako-kun | Hanako-san | List of Toilet-Bound Hanako-kun episodes | List of Toilet-Bound Hanako-kun chapters | David Matranga | Shōya Chiba,Toilet-Bound Hanako-kun:instance_of | Hanako-san:title_not_exact(0.48) | List of Toilet-Bound Hanako-kun episodes:title_not_exact(0.73) | List of Toilet-Bound Hanako-kun chapters:title_not_exact(0.73) | David Matranga:title_not_exact(0.32) | List of Toilet-Bound Hanako-kun episodes:title_similarity(
anime_030,anime,Tower of God,tt12057106,Q131160789,Tower of God | List of Tower of God episodes | Tower of God season 2 | Tower of God season 1 | Tower of Babel | List of Tower of God characters,Tower of God:instance_of | List of Tower of God episodes:title_not_exact(0.59) | Tower of God season 2:title_not_exact(0.73) | Tower of God season 1:title_not_exact(0.73) | Tower of Babel:title_not_exact(0.69) | Tower of God season 2:title_similarity(0.73) | Tower of God season 1:title_similarity(0.
anime_031,anime,"So I'm a Spider, So What?",tt12598008,Q64497144,"So I'm a Spider, So What? | List of So I'm a Spider, So What characters | Your Friendly Neighborhood Spider-Man | Kaya Okuno | Mitsutaka Hirota | Brianna Knickerbocker | Riko Azuna","So I'm a Spider, So What?:instance_of | List of So I'm a Spider, So What characters:title_not_exact(0.71) | Your Friendly Neighborhood Spider-Man:title_not_exact(0.39) | Kaya Okuno:title_not_exact(0.17) | Mitsutaka Hirota:title_not_exact(0.24) | List of So I'm a Spider, So What characters:title_simi"
anime_032,anime,Combatants Will Be Dispatched!,tt13758670,Q104628039,Combatants Will Be Dispatched! | Natsume Akatsuki | Sword Oratoria | Dream Eater Merry | Children of the Whales | Sayaka Kikuchi | Sayumi Watabe | Yusuke Shirai,Combatants Will Be Dispatched!:instance_of | Natsume Akatsuki:title_not_exact(0.30) | Sword Oratoria:title_not_exact(0.23) | Dream Eater Merry:title_not_exact(0.26) | Children of the Whales:title_not_exact(0.12) | Natsume Akatsuki:title_similarity(0.30) | Sayaka Kikuchi:title_similarity(0.18) | Sayu
anime_034,anime,Battle Game in 5 Seconds,tt13444580,Q101493669,Battle Game in 5 Seconds | Touko Machida | Blockbuster (party game) | 2021–22 NFL playoffs | SynergySP | Akari Kitō | Miyuri Shimabukuro | Dan Petronijevic,Battle Game in 5 Seconds:instance_of | Touko Machida:title_not_exact(0.16) | Blockbuster (party game):title_not_exact(0.23) | 2021–22 NFL playoffs:title_not_exact(0.23) | SynergySP:title_not_exact(0.18) | Touko Machida:title_similarity(0.16) | Akari Kitō:title_similarity(0.24) | Miyuri Shimabukuro:t
anime_035,anime,Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier Than Real Life!,tt13593022,Q105163482,Full Dive | Lisa Ortiz | Michele Knotz | Mayu Maeshima | Johnny Yong Bosch,Full Dive:parent_article | Lisa Ortiz:title_not_exact(0.04) | Michele Knotz:title_not_exact(0.11) | Mayu Maeshima:title_not_exact(0.19) | Johnny Yong Bosch:title_not_exact(0.16) | Lisa Ortiz:title_similarity(0.04) | Mayu Maeshima:title_similarity(0.19) | Johnny Yong Bosch:title_similarity(0.16) | Mi
anime_037,anime,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",tt15026576,,The Fruit of Evolution | Tupac Shakur | Objections to evolution | Jenifer Lewis | List of 2026 albums | List of isekai works | Jun Kasama | 2023 in anime | Miyuki Sawashiro,The Fruit of Evolution:parent_article | Tupac Shakur:title_not_exact(0.14) | Objections to evolution:title_not_exact(0.26) | Jenifer Lewis:title_not_exact(0.19) | List of 2026 albums:title_not_exact(0.23) | List of isekai works:title_similarity(0.27) | Jun Kasama:title_similarity(0.20) | 2023 in ani
anime_038,anime,Vermeil in Gold,tt18561422,Q112225220,Vermeil in Gold | Gold plating | Oak & Luna | Wakana Kuramochi | San Jose State Spartans football | Silver-gilt | Miyuri Shimabukuro | Adam Gibbs,Vermeil in Gold:instance_of | Gold plating:title_not_exact(0.30) | Oak & Luna:title_not_exact(0.17) | Wakana Kuramochi:title_not_exact(0.19) | San Jose State Spartans football:title_not_exact(0.17) | Silver-gilt:title_similarity(0.38) | Wakana Kuramochi:title_similarity(0.19) | Miyuri Shimabukuro:ti
anime_040,anime,Zom 100: Bucket List of the Dead,tt25811262,Q118289307,Zom 100: Bucket List of the Dead | List of apocalyptic films | Kazuki Kitamura | Wakana Okuma | Bug Films | Haro Aso | Abby Trott | Shūichirō Umeda,Zom 100: Bucket List of the Dead:instance_of | List of apocalyptic films:title_not_exact(0.32) | Kazuki Kitamura:title_not_exact(0.09) | Wakana Okuma:title_not_exact(0.18) | Bug Films:title_not_exact(0.20) | Haro Aso:title_similarity(0.10) | Abby Trott:title_similarity(0.14) | Shūichirō Umeda:title_
anime_041,anime,EDENS ZERO,tt13167196,Q99642395,Edens Zero | List of Edens Zero episodes | Wes Edens | Edens Zero season 1 | Edens Zero season 2 | List of Edens Zero characters | Happy (manga character),Edens Zero:instance_of | List of Edens Zero episodes:title_not_exact(0.54) | Wes Edens:title_not_exact(0.53) | Edens Zero season 1:title_not_exact(0.69) | Edens Zero season 2:title_not_exact(0.69) | Edens Zero season 2:title_similarity(0.69) | Edens Zero season 1:title_similarity(0.69) | List of Ede
anime_042,anime,Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,tt16255458,Q110897361,Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs | Linda Young | I'm the Evil Lord of an Intergalactic Empire! | Natsuko Abe | ENGI | Fairouz Ai | List of harem anime and manga,Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs:instance_of | Linda Young:title_not_exact(0.21) | I'm the Evil Lord of an Intergalactic Empire!:title_not_exact(0.38) | Natsuko Abe:title_not_exact(0.21) | ENGI:title_not_exact(0.11) | ENGI:title_similarity(0.11) | Linda Young:title
anime_043,anime,The Angel Next Door Spoils Me Rotten,tt19064770,Q110419753,The Angel Next Door Spoils Me Rotten | Taito Ban | Toho International | Haruka Shiraishi | Toho | Kono Light Novel ga Sugoi! | Manaka Iwami | Chiisana Koi no Uta,The Angel Next Door Spoils Me Rotten:instance_of | Taito Ban:title_not_exact(0.18) | Toho International:title_not_exact(0.30) | Haruka Shiraishi:title_not_exact(0.27) | Toho:title_not_exact(0.15) | Taito Ban:title_similarity(0.18) | Kono Light Novel ga Sugoi!:title_similarity(0.29) | Manaka Iwami:ti
anime_044,anime,Shangri-La Frontier,tt28776190,Q113110865,Shangri-La Frontier | List of Shangri-La Frontier episodes | List of Shangri-La Frontier chapters | VRMMORPG | Yumiri Hanamori | Shangri-La | LitRPG,Shangri-La Frontier:instance_of | List of Shangri-La Frontier episodes:title_not_exact(0.69) | List of Shangri-La Frontier chapters:title_not_exact(0.69) | VRMMORPG:title_not_exact(0.22) | Yumiri Hanamori:title_not_exact(0.29) | List of Shangri-La Frontier chapters:title_similarity(0.69) | List of S
anime_046,anime,The Wrong Way to Use Healing Magic,tt15237152,Q118442046,The Wrong Way to Use Healing Magic | Shogo Sakata | Shin-Ei Animation | Redo of Healer | Psychedelic mushroom store | Hitomi Ueda | Ayaka Nanase | Anthony Bowling,The Wrong Way to Use Healing Magic:instance_of | Shogo Sakata:title_not_exact(0.35) | Shin-Ei Animation:title_not_exact(0.31) | Redo of Healer:title_not_exact(0.33) | Psychedelic mushroom store:title_not_exact(0.23) | Shogo Sakata:title_similarity(0.35) | Hitomi Ueda:title_similarity(0.31) | Ayaka N
anime_047,anime,The Unwanted Undead Adventurer,tt30177477,Q118444414,The Unwanted Undead Adventurer | The Exiled Heavy Knight Knows How to Game the System | Alex Hom | Clevatess | List of Spice and Wolf: Merchant Meets the Wise Wolf episodes | Ikumi Hasegawa | Ryōta Suzuki (voice actor) | Sayumi Suzushiro,The Unwanted Undead Adventurer:instance_of | The Exiled Heavy Knight Knows How to Game the System:title_not_exact(0.32) | Alex Hom:title_not_exact(0.16) | Clevatess:title_not_exact(0.21) | List of Spice and Wolf: Merchant Meets the Wise Wolf episodes:title_not_exact(0.20) | The Exiled Heavy Knight K
anime_048,anime,Hokkaido Gals Are Super Adorable!,tt23029874,Q115734786,Hokkaido Gals Are Super Adorable! | Yumiri Hanamori | Jill Harris | Mikaela Krantz | Brittany Lauda | List of harem anime and manga,Hokkaido Gals Are Super Adorable!:instance_of | Yumiri Hanamori:title_not_exact(0.25) | Jill Harris:title_not_exact(0.27) | Mikaela Krantz:title_not_exact(0.26) | Brittany Lauda:title_not_exact(0.09) | Mikaela Krantz:title_similarity(0.26) | Jill Harris:title_similarity(0.27) | List of harem anime a
anime_049,anime,Re:Monster,tt31514720,Q122705531,Re:Monster | Monster Mash | Monster: The Ed Gein Story | Monster Hunter Wilds | RE Engine | Mai Kanno,Re:Monster:instance_of | Monster Mash:title_not_exact(0.64) | Monster: The Ed Gein Story:title_not_exact(0.39) | Monster Hunter Wilds:title_not_exact(0.47) | RE Engine:title_not_exact(0.32) | Monster Mash:title_similarity(0.64) | RE Engine:title_similarity(0.32) | Mai Kanno:title_similarity(0.21) | 
anime_051,anime,Witch Hat Atelier,tt32550889,Q113033067,Witch Hat Atelier | List of Witch Hat Atelier characters | List of Witch Hat Atelier chapters | Witch Hat Atelier Kitchen | List of Witch Hat Atelier episodes,Witch Hat Atelier:instance_of | List of Witch Hat Atelier characters:title_not_exact(0.64) | List of Witch Hat Atelier chapters:title_not_exact(0.67) | Witch Hat Atelier Kitchen:title_not_exact(0.81) | List of Witch Hat Atelier episodes:title_not_exact(0.67) | Witch Hat Atelier Kitchen:title_similar
anime_052,anime,Chillin' in Another World with Level 2 Super Cheat Powers,tt29521186,Q123051796,Chillin' in Another World with Level 2 Super Cheat Powers | Children of the Whales | 2024 in anime | Yuuki Hirose | Aya Yamane | Yuka Iguchi | J.C.Staff | Megan Shipman,Chillin' in Another World with Level 2 Super Cheat Powers:instance_of | Children of the Whales:title_not_exact(0.41) | 2024 in anime:title_not_exact(0.23) | Yuuki Hirose:title_not_exact(0.17) | Aya Yamane:title_not_exact(0.12) | Yuuki Hirose:title_similarity(0.17) | Yuka Iguchi:title_similarity(0.09
anime_054,anime,Sentenced to Be a Hero,tt32536168,Q120690571,Sentenced to Be a Hero | 100 Nights of Hero | 2026 Iran war | The Devil (2025 film) | Shizuka Ishigami | Mayu Iizuka | Yōhei Azakami | Studio Kai | Dawn M. Bennett,Sentenced to Be a Hero:instance_of | 100 Nights of Hero:title_not_exact(0.40) | 2026 Iran war:title_not_exact(0.11) | The Devil (2025 film):title_not_exact(0.19) | Shizuka Ishigami:title_not_exact(0.21) | Mayu Iizuka:title_similarity(0.12) | Yōhei Azakami:title_similarity(0.11) | Studio Kai:title_si
anime_055,anime,Takopi's Original Sin,tt36988358,Q131414367,Takopi's Original Sin | Taizan 5 | Reina Ueda | 10th Crunchyroll Anime Awards | 2025 in anime,Takopi's Original Sin:instance_of | Taizan 5:title_not_exact(0.34) | Reina Ueda:title_not_exact(0.32) | 10th Crunchyroll Anime Awards:title_not_exact(0.28) | 2025 in anime:title_not_exact(0.29) | Taizan 5:title_similarity(0.34) | 10th Crunchyroll Anime Awards:title_similarity(0.28) | Reina Ueda:titl
anime_056,anime,Chained Soldier,tt16156736,Q109646937,Chained Soldier | List of serial drama television series | Takahiro (writer) | Seven Arcs | Chain gang | Natalie Rial | Anna Yamaki | Shōnen Jump+,Chained Soldier:instance_of | List of serial drama television series:title_not_exact(0.19) | Takahiro (writer):title_not_exact(0.26) | Seven Arcs:title_not_exact(0.24) | Chain gang:title_not_exact(0.48) | Takahiro (writer):title_similarity(0.26) | Natalie Rial:title_similarity(0.37) | Anna Yamaki:ti
anime_057,anime,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,tt31624309,Q115059158,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability | 2024 in anime | 2025 in anime | Shōsetsuka ni Narō | Stereo Dive Foundation | List of harem anime and manga,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability:instance_of | 2024 in anime:title_not_exact(0.16) | 2025 in anime:title_not_exact(0.16) | Shōsetsuka ni Narō:title_not_exact(0.09) | Stereo Dive Foundation:title_not_exact(0.24) | Shōsetsuka ni Narō:title_simila
anime_060,anime,From Old Country Bumpkin to Master Swordsman,tt35346717,Q128229869,From Old Country Bumpkin to Master Swordsman | The Ghost in the Shell (2026 TV series) | Passione (company) | IMAnimation | Hitomi Ueda | 2026 in anime | Kaito Ishikawa | 2025 in anime,From Old Country Bumpkin to Master Swordsman:instance_of | The Ghost in the Shell (2026 TV series):title_not_exact(0.27) | Passione (company):title_not_exact(0.23) | IMAnimation:title_not_exact(0.15) | Hitomi Ueda:title_not_exact(0.25) | Passione (company):title_similarity(0.23) | 2026 in anime:titl
animated_film_004,animated_film,Digimon Adventure tri. Part 1: Reunion,tt4307880,Q50418220,Digimon Adventure tri. | List of Digimon films | Digimon | Tai Kamiya | List of Digimon episodes and films | List of highest-grossing films based on video games,Digimon Adventure tri.:parent_article | List of Digimon films:title_not_exact(0.31) | Digimon:parent_article | Tai Kamiya:title_not_exact(0.21) | List of Digimon episodes and films:title_not_exact(0.37) | List of Digimon films:title_similarity(0.31) | List of highest-grossing films based on video ga
animated_film_005,animated_film,One Piece: Adventure of Nebulandia,tt6609162,Q24868707,World Government (One Piece) | List of One Piece television specials | One Piece (1999 TV series) | One Piece season 16 | Kōnosuke Uda | Toei Animation,World Government (One Piece):title_not_exact(0.24) | List of One Piece television specials:title_not_exact(0.45) | One Piece (1999 TV series):parent_article | One Piece season 16:title_not_exact(0.49) | Kōnosuke Uda:title_not_exact(0.26) | List of One Piece television specials:title_similarity(0.45)
animated_film_008,animated_film,Kizumonogatari Part 1: Tekketsu,tt3138698,Q22960653,Kizumonogatari | List of Monogatari novels | Koyomi Araragi | List of films: J–K | Monogatari (series) | Shaft (company),Kizumonogatari:parent_article | List of Monogatari novels:title_not_exact(0.50) | Koyomi Araragi:title_not_exact(0.31) | List of films: J–K:title_not_exact(0.24) | Monogatari (series):title_not_exact(0.49) | List of Monogatari novels:title_similarity(0.50) | Koyomi Araragi:title_similarity(0.31) | M
animated_film_015,animated_film,Dou kyu sei – Classmates,tt5526028,Q118978806,Classmates (manga) | Asumiko Nakamura | Opera (Japanese magazine) | Dōkyūsei,Classmates (manga):title_not_exact(0.59) | Asumiko Nakamura:title_not_exact(0.20) | Opera (Japanese magazine):title_not_exact(0.21) | Classmates (manga):title_similarity(0.59) | Dōkyūsei:title_similarity(0.38) | Asumiko Nakamura:title_similarity(0.20) | Opera (Japanese magazine):title_similarity(0.2
animated_film_022,animated_film,Curious George: Royal Monkey,tt10510166,Q93401280,Curious George (franchise) | Curious George | Curious George 2: Follow That Monkey! | Curious George (film) | Brian Grazer | Ed O'Ross,Curious George (franchise):parent_article | Curious George:parent_article | Curious George 2: Follow That Monkey!:title_not_exact(0.77) | Curious George (film):parent_article | Brian Grazer:title_not_exact(0.35) | Curious George 2: Follow That Monkey!:title_similarity(0.77) | Ed O'Ross:title_similar
animated_film_024,animated_film,Auntie Edna,tt8952294,Q60429770,The Incredibles (franchise) | Edna Mode | List of Pixar shorts | Juanita Jennings | Jessie Robins | List of The Incredibles characters | Brad Bird filmography | Craig T. Nelson,The Incredibles (franchise):title_not_exact(0.38) | Edna Mode:title_not_exact(0.40) | List of Pixar shorts:title_not_exact(0.19) | Juanita Jennings:title_not_exact(0.15) | Jessie Robins:title_not_exact(0.33) | The Incredibles (franchise):title_similarity(0.38) | Edna Mode:title_similarity(0.40) | Li
